127.0.0.1 - - [10/Sep/2019:17:03:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:03:45 +0530] "GET /HelloWorld1/Login.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:03:50 +0530] "GET /HelloWorld1/login.hcl?user=wer&password=qwer HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:03:53 +0530] "GET /HelloWorld1/LoggedIn.jsp?hel=qwer HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:03:57 +0530] "GET /HelloWorld1/login.hcl?user=wer&password=qwer HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:00 +0530] "GET /HelloWorld1/Login.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:01 +0530] "GET /HelloWorld1/Login.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:01 +0530] "GET /HelloWorld1/Login.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:01 +0530] "GET /HelloWorld1/Login.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:03 +0530] "GET /HelloWorld1/login.hcl?user=ewqr&password=qwer HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:30 +0530] "GET /HelloWorld1/login.hcl?user=ewqr&password=qwer HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:38 +0530] "GET /HelloWorld1/login.hcl?user=raghu&password=jerry HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [10/Sep/2019:17:04:55 +0530] "GET /HelloWorld1/login.hcl?user=raghu&password=wqer HTTP/1.1" 200 435
